Gene stable ID,Gene name,NCBI gene ID,UniProtKB/Swiss-Prot ID,RefSeq peptide ID
ENSMUSG00000027286,Lrrc57,66606,,NP_001153084
ENSMUSG00000008373,Prpf31,68988,Q8CCF0,NP_081604
ENSMUSG00000025967,Eef1b2,55949,,
ENSMUSG00000028354,Fmn2,54418,,
ENSMUSG00000027286,Lrrc57,66606,,NP_001153081
ENSMUSG00000034602,Mon2,67074,Q80TL7,NP_700444
ENSMUSG00000047025,Ccer1,66716,Q9CQL2,NP_080000
ENSMUSG00000025967,Eef1b2,55949,,
ENSMUSG00000027286,Lrrc57,66606,,NP_001153082
ENSMUSG00000009076,Zmat5,67178,Q9CQR5,NP_001343319
ENSMUSG00000009076,Zmat5,67178,Q9CQR5,NP_001343320
ENSMUSG00000009076,Zmat5,67178,Q9CQR5,NP_080291
ENSMUSG00000022354,Ndufb9,66218,Q9CQJ8,NP_075661
ENSMUSG00000027286,Lrrc57,66606,,
ENSMUSG00000008373,Prpf31,68988,Q8CCF0,
ENSMUSG00000027286,Lrrc57,66606,,
ENSMUSG00000025967,Eef1b2,55949,,
ENSMUSG00000025579,Gaa,14387,,
ENSMUSG00000008813,Tppp2,219038,Q0P5Y3,
ENSMUSG00000034602,Mon2,67074,,NP_001156497
ENSMUSG00000025967,Eef1b2,55949,,
ENSMUSG00000031170,Slc38a5,209837,,
ENSMUSG00000008813,Tppp2,219038,Q0P5Y3,NP_001122106
ENSMUSG00000008373,Prpf31,68988,Q8CCF0,
ENSMUSG00000021557,Agtpbp1,67269,Q641K1,NP_001041473
ENSMUSG00000021365,Nedd9,18003,O35177,NP_001104794
ENSMUSG00000008373,Prpf31,68988,Q8CCF0,NP_001153186
ENSMUSG00000021365,Nedd9,18003,,NP_059492
ENSMUSG00000034602,Mon2,67074,,
ENSMUSG00000041229,Phf8,320595,,
